service_id,date,exception_type
JAN22-MThCFD-Weekday-05,20220107,2
JAN22-MThCFD-Weekday-05,20220114,2
JAN22-MThCFD-Weekday-05,20220121,2
JAN22-MThCFD-Weekday-05,20220128,2
JAN22-MThCFD-Weekday-05,20220204,2
JAN22-MThCFD-Weekday-05,20220211,2
JAN22-MThCFD-Weekday-05,20220218,2
JAN22-MThCFD-Weekday-05,20220225,2
JAN22-MThCFD-Weekday-05,20220304,2
JAN22-MThCFD-Weekday-05,20220311,2
JAN22-MThCFD-Weekday-05,20220318,2
JAN22-MThCFD-Weekday-05,20220325,2
JAN22-MThCFD-Weekday-05,20220401,2
JAN22-MThCFD-Weekday-05,20220408,2
JAN22-MThCFD-Weekday-05,20220415,2
JAN22-FRICFD-Weekday-05,20220110,2
JAN22-FRICFD-Weekday-05,20220111,2
JAN22-FRICFD-Weekday-05,20220112,2
JAN22-FRICFD-Weekday-05,20220113,2
JAN22-FRICFD-Weekday-05,20220117,2
JAN22-FRICFD-Weekday-05,20220118,2
JAN22-FRICFD-Weekday-05,20220119,2
JAN22-FRICFD-Weekday-05,20220120,2
JAN22-FRICFD-Weekday-05,20220124,2
JAN22-FRICFD-Weekday-05,20220125,2
JAN22-FRICFD-Weekday-05,20220126,2
JAN22-FRICFD-Weekday-05,20220127,2
JAN22-FRICFD-Weekday-05,20220131,2
JAN22-FRICFD-Weekday-05,20220201,2
JAN22-FRICFD-Weekday-05,20220202,2
JAN22-FRICFD-Weekday-05,20220203,2
JAN22-FRICFD-Weekday-05,20220207,2
JAN22-FRICFD-Weekday-05,20220208,2
JAN22-FRICFD-Weekday-05,20220209,2
JAN22-FRICFD-Weekday-05,20220210,2
JAN22-FRICFD-Weekday-05,20220214,2
JAN22-FRICFD-Weekday-05,20220215,2
JAN22-FRICFD-Weekday-05,20220216,2
JAN22-FRICFD-Weekday-05,20220217,2
JAN22-FRICFD-Weekday-05,20220221,2
JAN22-FRICFD-Weekday-05,20220222,2
JAN22-FRICFD-Weekday-05,20220223,2
JAN22-FRICFD-Weekday-05,20220224,2
JAN22-FRICFD-Weekday-05,20220228,2
JAN22-FRICFD-Weekday-05,20220301,2
JAN22-FRICFD-Weekday-05,20220302,2
JAN22-FRICFD-Weekday-05,20220303,2
JAN22-FRICFD-Weekday-05,20220307,2
JAN22-FRICFD-Weekday-05,20220308,2
JAN22-FRICFD-Weekday-05,20220309,2
JAN22-FRICFD-Weekday-05,20220310,2
JAN22-FRICFD-Weekday-05,20220314,2
JAN22-FRICFD-Weekday-05,20220315,2
JAN22-FRICFD-Weekday-05,20220316,2
JAN22-FRICFD-Weekday-05,20220317,2
JAN22-FRICFD-Weekday-05,20220321,2
JAN22-FRICFD-Weekday-05,20220322,2
JAN22-FRICFD-Weekday-05,20220323,2
JAN22-FRICFD-Weekday-05,20220324,2
JAN22-FRICFD-Weekday-05,20220328,2
JAN22-FRICFD-Weekday-05,20220329,2
JAN22-FRICFD-Weekday-05,20220330,2
JAN22-FRICFD-Weekday-05,20220331,2
JAN22-FRICFD-Weekday-05,20220404,2
JAN22-FRICFD-Weekday-05,20220405,2
JAN22-FRICFD-Weekday-05,20220406,2
JAN22-FRICFD-Weekday-05,20220407,2
JAN22-FRICFD-Weekday-05,20220411,2
JAN22-FRICFD-Weekday-05,20220412,2
JAN22-FRICFD-Weekday-05,20220413,2
JAN22-FRICFD-Weekday-05,20220414,2
JAN22-FRICFD-Weekday-05,20220415,2
JAN22-FRICFD-Weekday-05,20220418,2
JAN22-FRICFD-Weekday-05,20220419,2
JAN22-FRICFD-Weekday-05,20220420,2
JAN22-FRICFD-Weekday-05,20220421,2
JAN22-SUNCFD-Sunday-01,20220415,1
JAN22-JANSU22-Sunday-01,20220415,1
JAN22-JANDA22-Weekday-03,20220314,2
JAN22-JANDA22-Weekday-03,20220315,2
JAN22-JANDA22-Weekday-03,20220316,2
JAN22-JANDA22-Weekday-03,20220317,2
JAN22-JANDA22-Weekday-03,20220318,2
JAN22-JANDA22-Weekday-03,20220415,2
JAN22-JANDA22-Weekday-03,20220418,2
JAN22-REDDA22-Weekday-02,20220321,2
JAN22-REDDA22-Weekday-02,20220322,2
JAN22-REDDA22-Weekday-02,20220323,2
JAN22-REDDA22-Weekday-02,20220324,2
JAN22-REDDA22-Weekday-02,20220325,2
JAN22-REDDA22-Weekday-02,20220328,2
JAN22-REDDA22-Weekday-02,20220329,2
JAN22-REDDA22-Weekday-02,20220330,2
JAN22-REDDA22-Weekday-02,20220331,2
JAN22-REDDA22-Weekday-02,20220401,2
JAN22-REDDA22-Weekday-02,20220404,2
JAN22-REDDA22-Weekday-02,20220405,2
JAN22-REDDA22-Weekday-02,20220406,2
JAN22-REDDA22-Weekday-02,20220407,2
JAN22-REDDA22-Weekday-02,20220408,2
JAN22-REDDA22-Weekday-02,20220411,2
JAN22-REDDA22-Weekday-02,20220412,2
JAN22-REDDA22-Weekday-02,20220413,2
JAN22-REDDA22-Weekday-02,20220414,2
JAN22-REDDA22-Weekday-02,20220415,2
JAN22-302Shop-Weekday-01,20220105,2
JAN22-302Shop-Weekday-01,20220106,2
JAN22-302Shop-Weekday-01,20220107,2
JAN22-302Shop-Weekday-01,20220110,2
JAN22-302Shop-Weekday-01,20220112,2
JAN22-302Shop-Weekday-01,20220113,2
JAN22-302Shop-Weekday-01,20220114,2
JAN22-302Shop-Weekday-01,20220117,2
JAN22-302Shop-Weekday-01,20220119,2
JAN22-302Shop-Weekday-01,20220120,2
JAN22-302Shop-Weekday-01,20220121,2
JAN22-302Shop-Weekday-01,20220124,2
JAN22-302Shop-Weekday-01,20220126,2
JAN22-302Shop-Weekday-01,20220127,2
JAN22-302Shop-Weekday-01,20220128,2
JAN22-302Shop-Weekday-01,20220131,2
JAN22-302Shop-Weekday-01,20220202,2
JAN22-302Shop-Weekday-01,20220203,2
JAN22-302Shop-Weekday-01,20220204,2
JAN22-302Shop-Weekday-01,20220207,2
JAN22-302Shop-Weekday-01,20220209,2
JAN22-302Shop-Weekday-01,20220210,2
JAN22-302Shop-Weekday-01,20220211,2
JAN22-302Shop-Weekday-01,20220214,2
JAN22-302Shop-Weekday-01,20220216,2
JAN22-302Shop-Weekday-01,20220217,2
JAN22-302Shop-Weekday-01,20220218,2
JAN22-302Shop-Weekday-01,20220221,2
