route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-332,1,,,2,,DA291C,FFFFFF
2-332,2,,,3,,65A233,FFFFFF
5-332,5,,,3,,6E6E70,FFFFFF
6-332,6,,,3,,D74100,FFFFFF
7-332,7,,,3,,D74100,FFFFFF
9-332,9,,,3,,6E6E70,FFFFFF
10-332,10,,,3,,D74100,FFFFFF
11-332,11,,,3,,D74100,FFFFFF
12-332,12,,,3,,D74100,FFFFFF
14-332,14,,,3,,D74100,FFFFFF
15-332,15,,,3,,D74100,FFFFFF
16-332,16,,,3,,6E6E70,FFFFFF
18-332,18,,,3,,6E6E70,FFFFFF
19-332,19,,,3,,6E6E70,FFFFFF
20-332,20,,,3,,6E6E70,FFFFFF
21-332,21,,,3,,E6E6E6,58595B
23-332,23,,,3,,E6E6E6,58595B
24-332,24,,,3,,6E6E70,FFFFFF
25-332,25,,,3,,D74100,FFFFFF
26-332,26,,,3,,6E6E70,FFFFFF
27-332,27,,,3,,E6E6E6,58595B
28-332,28,,,3,,6E6E70,FFFFFF
30-332,30,,,3,,6E6E70,FFFFFF
31-332,31,,,3,,E6E6E6,58595B
32-332,32,,,3,,E6E6E6,58595B
33-332,33,,,3,,E6E6E6,58595B
34-332,34,,,3,,6E6E70,FFFFFF
35-332,35,,,3,,6E6E70,FFFFFF
37-332,37,,,3,,E6E6E6,58595B
38-332,38,,,3,,6E6E70,FFFFFF
39-332,39,,,3,,0056B8,FFFFFF
40-332,40,,,3,,D74100,FFFFFF
42-332,42,,,3,,6E6E70,FFFFFF
44-332,44,,,3,,D74100,FFFFFF
45-332,45,,,3,,0056B8,FFFFFF
46-332,46,,,3,,6E6E70,FFFFFF
47-332,47,,,3,,E6E6E6,58595B
48-332,48,,,3,,6E6E70,FFFFFF
49-332,49,,,3,,6E6E70,FFFFFF
50-332,50,,,3,,6E6E70,FFFFFF
51-332,51,,,3,,D74100,FFFFFF
53-332,53,,,3,,D74100,FFFFFF
54-332,54,,,3,,6E6E70,FFFFFF
55-332,55,,,3,,6E6E70,FFFFFF
56-332,56,,,3,,E6E6E6,58595B
57-332,57,,,3,,0056B8,FFFFFF
58-332,58,,,3,,6E6E70,FFFFFF
61-332,61,,,3,,0056B8,FFFFFF
62-332,62,,,3,,0056B8,FFFFFF
63-332,63,,,3,,0056B8,FFFFFF
64-332,64,,,3,,6E6E70,FFFFFF
66-332,66,,,3,,E6E6E6,58595B
73-332,73,,,3,,E6E6E6,58595B
74-332,74,,,3,,0056B8,FFFFFF
75-332,75,,,3,,0056B8,FFFFFF
80-332,80,,,3,,D74100,FFFFFF
81-332,81,,,3,,6E6E70,FFFFFF
82-332,82,,,3,,6E6E70,FFFFFF
83-332,83,,,3,,6E6E70,FFFFFF
84-332,84,,,3,,6E6E70,FFFFFF
85-332,85,,,3,,D74100,FFFFFF
86-332,86,,,3,,6E6E70,FFFFFF
87-332,87,,,3,,D74100,FFFFFF
88-332,88,,,3,,D74100,FFFFFF
89-332,89,,,3,,6E6E70,FFFFFF
90-332,90,,,3,,D74100,FFFFFF
92-332,92,,,3,,6E6E70,FFFFFF
93-332,93,,,3,,6E6E70,FFFFFF
96-332,96,,,3,,6E6E70,FFFFFF
97-332,97,,,3,,0056B8,FFFFFF
98-332,98,,,3,,0056B8,FFFFFF
99-332,99,,,3,,0056B8,FFFFFF
110-332,110,,,3,,E6E6E6,58595B
111-332,111,,,3,,D74100,FFFFFF
114-332,114,,,3,,E6E6E6,58595B
131-332,131,,,3,,6E6E70,FFFFFF
138-332,138,,,3,,6E6E70,FFFFFF
140-332,140,,,3,,E6E6E6,58595B
141-332,141,,,3,,E6E6E6,58595B
153-332,153,,,3,,E6E6E6,58595B
154-332,154,,,3,,E6E6E6,58595B
155-332,155,,,3,,E6E6E6,58595B
158-332,158,,,3,,E6E6E6,58595B
161-332,161,,,3,,E6E6E6,58595B
162-332,162,,,3,,E6E6E6,58595B
164-332,164,,,3,,E6E6E6,58595B
165-332,165,,,3,,E6E6E6,58595B
166-332,166,,,3,,E6E6E6,58595B
167-332,167,,,3,,E6E6E6,58595B
168-332,168,,,3,,6E6E70,FFFFFF
170-332,170,,,3,,6E6E70,FFFFFF
171-332,171,,,3,,6E6E70,FFFFFF
173-332,173,,,3,,E6E6E6,58595B
175-332,175,,,3,,6E6E70,FFFFFF
176-332,176,,,3,,E6E6E6,58595B
186-332,186,,,3,,E6E6E6,58595B
187-332,187,,,3,,E6E6E6,58595B
190-332,190,,,3,,E6E6E6,58595B
197-332,197,,,3,,6E6E70,FFFFFF
198-332,198,,,3,,E6E6E6,58595B
199-332,199,,,3,,E6E6E6,58595B
221-332,221,,,3,,A85B8C,FFFFFF
222-332,222,,,3,,A85B8C,FFFFFF
228-332,228,,,3,,A85B8C,FFFFFF
231-332,231,,,3,,A85B8C,FFFFFF
232-332,232,,,3,,A85B8C,FFFFFF
234-332,234,,,3,,A85B8C,FFFFFF
236-332,236,,,3,,A85B8C,FFFFFF
237-332,237,,,3,,A85B8C,FFFFFF
252-332,252,,,3,,A85B8C,FFFFFF
256-332,256,,,3,,A85B8C,FFFFFF
257-332,257,,,3,,A85B8C,FFFFFF
258-332,258,,,3,,A85B8C,FFFFFF
261-332,261,,,3,,A85B8C,FFFFFF
262-332,262,,,3,,A85B8C,FFFFFF
263-332,263,,,3,,A85B8C,FFFFFF
264-332,264,,,3,,A85B8C,FFFFFF
265-332,265,,,3,,A85B8C,FFFFFF
267-332,267,,,3,,A85B8C,FFFFFF
268-332,268,,,3,,A85B8C,FFFFFF
270-332,270,,,3,,A85B8C,FFFFFF
271-332,271,,,3,,A85B8C,FFFFFF
272-332,272,,,3,,A85B8C,FFFFFF
273-332,273,,,3,,A85B8C,FFFFFF
277-332,277,,,3,,A85B8C,FFFFFF
278-332,278,,,3,,A85B8C,FFFFFF
282-332,282,,,3,,A85B8C,FFFFFF
283-332,283,,,3,,A85B8C,FFFFFF
290-332,290,,,3,,A85B8C,FFFFFF
291-332,291,,,3,,A85B8C,FFFFFF
294-332,294,,,3,,A85B8C,FFFFFF
299-332,299,,,3,,A85B8C,FFFFFF
301-332,301,,,3,,E6E6E6,58595B
302-332,302,,,3,,E6E6E6,58595B
303-332,303,,,3,,E6E6E6,58595B
304-332,304,,,3,,E6E6E6,58595B
305-332,305,,,3,,E6E6E6,58595B
602-332,602,,,3,,E6E6E6,58595B
609-332,609,,,3,,E6E6E6,58595B
611-332,611,,,3,,E6E6E6,58595B
612-332,612,,,3,,E6E6E6,58595B
613-332,613,,,3,,E6E6E6,58595B
615-332,615,,,3,,E6E6E6,58595B
616-332,616,,,3,,E6E6E6,58595B
618-332,618,,,3,,E6E6E6,58595B
619-332,619,,,3,,E6E6E6,58595B
620-332,620,,,3,,E6E6E6,58595B
622-332,622,,,3,,E6E6E6,58595B
624-332,624,,,3,,E6E6E6,58595B
630-332,630,,,3,,E6E6E6,58595B
631-332,631,,,3,,E6E6E6,58595B
632-332,632,,,3,,E6E6E6,58595B
633-332,633,,,3,,E6E6E6,58595B
634-332,634,,,3,,E6E6E6,58595B
635-332,635,,,3,,E6E6E6,58595B
636-332,636,,,3,,E6E6E6,58595B
638-332,638,,,3,,E6E6E6,58595B
639-332,639,,,3,,E6E6E6,58595B
640-332,640,,,3,,E6E6E6,58595B
641-332,641,,,3,,E6E6E6,58595B
644-332,644,,,3,,E6E6E6,58595B
645-332,645,,,3,,E6E6E6,58595B
648-332,648,,,3,,E6E6E6,58595B
649-332,649,,,3,,E6E6E6,58595B
658-332,658,,,3,,E6E6E6,58595B
660-332,660,,,3,,E6E6E6,58595B
661-332,661,,,3,,E6E6E6,58595B
664-332,664,,,3,,E6E6E6,58595B
665-332,665,,,3,,E6E6E6,58595B
667-332,667,,,3,,E6E6E6,58595B
668-332,668,,,3,,E6E6E6,58595B
669-332,669,,,3,,E6E6E6,58595B
670-332,670,,,3,,E6E6E6,58595B
671-332,671,,,3,,E6E6E6,58595B
672-332,672,,,3,,E6E6E6,58595B
674-332,674,,,3,,E6E6E6,58595B
675-332,675,,,3,,E6E6E6,58595B
676-332,676,,,3,,E6E6E6,58595B
678-332,678,,,3,,E6E6E6,58595B
680-332,680,,,3,,E6E6E6,58595B
681-332,681,,,3,,E6E6E6,58595B
686-332,686,,,3,,E6E6E6,58595B
688-332,688,,,3,,E6E6E6,58595B
689-332,689,,,3,,E6E6E6,58595B
691-332,691,,,3,,E6E6E6,58595B
698-332,698,,,3,,E6E6E6,58595B
699-332,699,,,3,,E6E6E6,58595B
