route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
301-332,JAN22-301Shop-Weekday-01,82551723-JAN22-301Shop-Weekday-01,"Bayshore / Carlingwood",0,10358437,3010048
301-332,JAN22-301Shop-Weekday-01,82551727-JAN22-301Shop-Weekday-01,"Richmond / Stittsville",1,10358437,3010049
302-332,JAN22-302Shop-Weekday-01,82551731-JAN22-302Shop-Weekday-01,"St Laurent / Place D'Orléans",0,10358438,3020026
302-332,JAN22-302Shop-Weekday-01,82551735-JAN22-302Shop-Weekday-01,"Cumberland",1,10358438,3020027
303-332,JAN22-303Shop-Weekday-01,82514272-JAN22-303Shop-Weekday-01,"Bayshore / Carlingwood",0,10356132,3030043
303-332,JAN22-303Shop-Weekday-01,82514273-JAN22-303Shop-Weekday-01,"Dunrobin / Carp / Stittsville",1,10356132,3030044
304-332,JAN22-304Shop-Weekday-01,82551738-JAN22-304Shop-Weekday-01,"Billings Bridge / South Keys",0,10358439,3040021
304-332,JAN22-304Shop-Weekday-01,82551742-JAN22-304Shop-Weekday-01,"Osgoode / Greely / Metcalfe",1,10358439,3040022
305-332,JAN22-305Shop-Weekday-01,82551745-JAN22-305Shop-Weekday-01,"Carlingwood",0,10358440,3050035
305-332,JAN22-305Shop-Weekday-01,82551749-JAN22-305Shop-Weekday-01,"North Gower / Manotick",1,10358440,3050034
1-332,JAN22-FRICFD-Weekday-05,83336353-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336354-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336355-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336356-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336357-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336358-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336359-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336360-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336361-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336362-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336363-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336364-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336365-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336366-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336367-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336368-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336369-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336370-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336371-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336372-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336373-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336374-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336375-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336376-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336377-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336378-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336379-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336380-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336381-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336382-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336383-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336384-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336385-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336386-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336387-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336388-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425978,10720
1-332,JAN22-FRICFD-Weekday-05,83336389-JAN22-FRICFD-Weekday-05,"Blair",0,10425978,10721
1-332,JAN22-FRICFD-Weekday-05,83336390-JAN22-FRICFD-Weekday-05,"Blair",0,10425979,10721
1-332,JAN22-FRICFD-Weekday-05,83336391-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425979,10720
1-332,JAN22-FRICFD-Weekday-05,83336392-JAN22-FRICFD-Weekday-05,"Blair",0,10425979,10721
1-332,JAN22-FRICFD-Weekday-05,83336393-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425979,10720
1-332,JAN22-FRICFD-Weekday-05,83336394-JAN22-FRICFD-Weekday-05,"Blair",0,10425979,10721
1-332,JAN22-FRICFD-Weekday-05,83336395-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425979,10720
1-332,JAN22-FRICFD-Weekday-05,83336396-JAN22-FRICFD-Weekday-05,"Blair",0,10425979,10721
1-332,JAN22-FRICFD-Weekday-05,83336397-JAN22-FRICFD-Weekday-05,"Tunney's Pasture",1,10425979,10720
